Gene	Isoform	ExplogFC/FC	P
CFH	Expression	0.501859444248796	0.00081
CFH	ENST00000367429	0.975680200469734	0.99723
CFH	ENST00000466229	1.21979485988034	0.37605
GCLC	Expression	0.0846868837595661	0.76316
GCLC	ENST00000509541	1.04089056164829	0.98233
GCLC	ENST00000514004	1.00046887063172	0.99387
GCLC	ENST00000515580	0.928129647846918	0.94804
GCLC	ENST00000650454	0.98915317111759	0.99751
NFYA	Expression	0.00740331237176162	0.98708
NFYA	ENST00000341376	0.993674057458611	0.99814
NFYA	ENST00000353205	1.03281679741654	0.99536
NIPAL3	Expression	-0.0206882948383046	0.97271
NIPAL3	ENST00000374399	0.999285427264217	0.99877
NIPAL3	ENST00000432012	1.01393423296882	0.99844
LAS1L	Expression	-0.0101541776642034	0.98269
LAS1L	ENST00000374807	0.977134680872133	0.99546
LAS1L	ENST00000484069	1.12379591678511	0.86781
SEMA3F	Expression	0.0378657874758509	0.92959
SEMA3F	ENST00000002829	1.0163736272303	0.99677
SEMA3F	ENST00000413852	0.98247601955051	0.99668
LAP3	Expression	1.49718105291719	0
LAP3	ENST00000606142	1.01817079143848	0.99979
LAP3	ENST00000618908	0.892975384301543	0.96306
LASP1	Expression	0.0291943046115511	0.96605
LASP1	ENST00000318008	0.999221738260302	0.99904
LASP1	ENST00000579123	1.0553528361741	0.99184
ALS2	Expression	0.010913997419962	0.9852
ALS2	ENST00000264276	0.996439719662712	0.99875
ALS2	ENST00000467448	1.02074396599775	0.9979
CFLAR	Expression	0.376097988979016	1e-04
CFLAR	ENST00000309955	0.969874232229286	0.99892
CFLAR	ENST00000342795	1.15321328180691	0.68694
CFLAR	ENST00000395148	1.0918199430831	0.9344
CFLAR	ENST00000423241	0.984283311890109	0.99336
CFLAR	ENST00000440180	1.11216840883412	0.82054
CFLAR	ENST00000460961	1.17420512821513	0.60691
CFLAR	ENST00000470664	1.0578474263915	0.92018
RBM5	Expression	0.00512780395927853	0.99502
RBM5	ENST00000347869	1.02664207114329	0.99429
RBM5	ENST00000464087	0.950898845681752	0.97437
RBM5	ENST00000469838	0.952587239146856	0.98281
RBM5	ENST00000471995	0.975775417337271	0.96659
RBM5	ENST00000475128	1.17738199270389	0.60067
RBM5	ENST00000479275	1.06593656295611	0.91032
RBM5	ENST00000496179	0.940948458101012	0.94647
