cohort	srp	srr	category	status	isPaired	BioSample
55	SRP216763	SRR9856912	H3N2	case	PAIRED	SAMN12392457
55	SRP216763	SRR9856913	H3N2	case	PAIRED	SAMN12392457
55	SRP216763	SRR9856916	H3N2	case	PAIRED	SAMN12392455
55	SRP216763	SRR9856917	H3N2	case	PAIRED	SAMN12392455
55	SRP216763	SRR9856921	H3N2	case	PAIRED	SAMN12392453
55	SRP216763	SRR9856924	H3N2	case	PAIRED	SAMN12392451
55	SRP216763	SRR9856925	H3N2	case	PAIRED	SAMN12392451
55	SRP216763	SRR9856929	H3N2	case	PAIRED	SAMN12392449
55	SRP216763	SRR9860545	H3N2	case	PAIRED	SAMN12392453
55	SRP216763	SRR9860546	H3N2	case	PAIRED	SAMN12392449
55	SRP216763	SRR9856914	Mock	control	PAIRED	SAMN12392456
55	SRP216763	SRR9856915	Mock	control	PAIRED	SAMN12392456
55	SRP216763	SRR9856918	Mock	control	PAIRED	SAMN12392454
55	SRP216763	SRR9856919	Mock	control	PAIRED	SAMN12392454
55	SRP216763	SRR9856922	Mock	control	PAIRED	SAMN12392452
55	SRP216763	SRR9856923	Mock	control	PAIRED	SAMN12392452
55	SRP216763	SRR9856926	Mock	control	PAIRED	SAMN12392450
55	SRP216763	SRR9856927	Mock	control	PAIRED	SAMN12392450
55	SRP216763	SRR9856930	Mock	control	PAIRED	SAMN12392448
55	SRP216763	SRR9856931	Mock	control	PAIRED	SAMN12392448
