Gene	Isoform	ExplogFC/FC	P
ENSG00000000003	Expression	-0.00687992590592906	0.98569
ENSG00000000003	ENST00000373020	1.00246132891798	0.95083
ENSG00000000003	ENST00000496771	1.03626863703666	0.91032
ENSG00000000003	ENST00000612152	0.932264435129624	0.8856
ENSG00000000003	ENST00000614008	1.04868289511353	0.89021
ENSG00000000419	Expression	-0.00253043117049506	0.98782
ENSG00000000419	ENST00000371582	1.01516567328577	0.93903
ENSG00000000419	ENST00000371584	0.964503960263776	0.92807
ENSG00000000419	ENST00000371588	1.00387863582857	0.96319
ENSG00000000419	ENST00000466152	0.954039737986989	0.92359
ENSG00000000457	Expression	0.01164263728397	0.98367
ENSG00000000457	ENST00000367771	0.973478191478295	0.94103
ENSG00000000457	ENST00000367772	1.00210966938966	0.94447
ENSG00000000457	ENST00000423670	1.07029655726432	0.86882
ENSG00000000457	ENST00000470238	1.0642027014658	0.87572
ENSG00000000460	Expression	-0.00804632290749961	0.98441
ENSG00000000460	ENST00000413811	0.968850890273812	0.93475
ENSG00000000460	ENST00000459772	1.00596397830306	0.94303
ENSG00000000460	ENST00000496973	1.08223673190571	0.85384
ENSG00000000938	Expression	-0.0100948806983775	0.986
ENSG00000000938	ENST00000374004	0.715480255640362	0.16415
ENSG00000000938	ENST00000374005	0.900277764471368	0.86057
ENSG00000000938	ENST00000399173	1.12142344137911	0.79264
ENSG00000000938	ENST00000475472	0.963684442331964	0.94315
ENSG00000000971	Expression	1.04040455376038	0.05381
ENSG00000000971	ENST00000367429	0.999259490413194	0.96634
ENSG00000000971	ENST00000466229	1.12288936412134	0.77615
ENSG00000000971	ENST00000470918	1.04041173689382	0.91122
ENSG00000000971	ENST00000630130	0.909539036310013	0.88325
ENSG00000001036	Expression	-0.0054704080211116	0.9871
ENSG00000001036	ENST00000002165	1.00034956717662	0.9822
ENSG00000001036	ENST00000451668	0.976294148665745	0.97761
ENSG00000001084	Expression	-0.0105704607161033	0.98328
ENSG00000001084	ENST00000229416	1.02020001852398	0.94206
ENSG00000001084	ENST00000505294	0.928018093137756	0.86022
ENSG00000001084	ENST00000509541	0.938888361135121	0.89637
ENSG00000001084	ENST00000514004	0.969068958873202	0.9165
ENSG00000001084	ENST00000514933	0.977227796941001	0.91898
ENSG00000001084	ENST00000515580	0.937406602520553	0.88163
ENSG00000001167	Expression	-0.0033851890963444	0.98744
ENSG00000001167	ENST00000341376	1.00442315926614	0.99117
ENSG00000001167	ENST00000353205	0.980758666521059	0.98917
ENSG00000001460	Expression	-0.00032546708344738	0.98755
ENSG00000001460	ENST00000337248	1.00366445014112	0.95945
ENSG00000001460	ENST00000468303	0.984274267701553	0.95022
ENSG00000001460	ENST00000497384	0.927632786558694	0.89121
ENSG00000001461	Expression	-0.00245408776872721	0.9877
ENSG00000001461	ENST00000003912	0.999305421518286	0.96353
ENSG00000001461	ENST00000339255	1.00057591690885	0.95352
ENSG00000001461	ENST00000432012	1.02902666890671	0.93134
ENSG00000001497	Expression	-0.00707906734841761	0.98696
ENSG00000001497	ENST00000374807	1.0016583868774	0.96158
ENSG00000001497	ENST00000374811	1.03576386748163	0.93172
ENSG00000001497	ENST00000469091	0.925250657810241	0.87208
ENSG00000001497	ENST00000484069	0.948634294870314	0.92687
ENSG00000001617	Expression	-0.0105942141299762	0.985
ENSG00000001617	ENST00000002829	1.00507736704693	0.95783
ENSG00000001617	ENST00000413852	1.01112209791767	0.9559
ENSG00000001617	ENST00000426511	0.924633919835211	0.86351
ENSG00000001617	ENST00000450338	0.962339273718915	0.94183
ENSG00000001617	ENST00000470737	0.966991278633263	0.91069
ENSG00000001626	Expression	-0.0104174295052011	0.98271
ENSG00000001626	ENST00000003084	0.999925427358909	0.97401
ENSG00000001626	ENST00000621535	1.00284941481673	0.97381
ENSG00000001629	Expression	0.0171817573521411	0.97844
ENSG00000001629	ENST00000265742	0.9955217294071	0.96039
ENSG00000001629	ENST00000422095	1.03916845980911	0.90855
ENSG00000001629	ENST00000442183	1.05314502236814	0.87547
ENSG00000001629	ENST00000465883	1.05485131621991	0.87026
ENSG00000001629	ENST00000486698	1.09287857651775	0.79989
ENSG00000001630	Expression	-0.00421072757791857	0.98802
ENSG00000001630	ENST00000003100	0.997117668650742	0.98597
ENSG00000001630	ENST00000450723	1.06242069497767	0.95281
ENSG00000001631	Expression	-0.00562540184006874	0.98837
ENSG00000001631	ENST00000340022	0.972544308125004	0.91017
ENSG00000001631	ENST00000394503	1.08734876328083	0.81564
ENSG00000001631	ENST00000394505	1.00181051058866	0.93813
ENSG00000001631	ENST00000394507	0.894803094113628	0.78796
ENSG00000001631	ENST00000433016	0.989773921351478	0.91154
ENSG00000001631	ENST00000452773	0.973697095796608	0.89653
ENSG00000001631	ENST00000470309	0.987384991274167	0.89879
ENSG00000001631	ENST00000475770	0.99933208838829	0.93214
ENSG00000001631	ENST00000486261	1.01777413258113	0.91191
ENSG00000001631	ENST00000487168	0.988795493299281	0.89483
ENSG00000002016	Expression	-0.00229951814253344	0.98773
ENSG00000002016	ENST00000358495	1.02330342901086	0.92905
ENSG00000002016	ENST00000481052	1.01146530855955	0.93319
ENSG00000002016	ENST00000488642	0.972308121204311	0.93547
ENSG00000002016	ENST00000541619	1.00641512988588	0.92278
ENSG00000002330	Expression	-0.00938459942997271	0.98598
ENSG00000002330	ENST00000309032	1.0195952792485	0.96954
ENSG00000002330	ENST00000394532	0.865276259196554	0.75822
ENSG00000002330	ENST00000544271	0.966134304885805	0.95408
ENSG00000002549	Expression	3.0173566306901	0
ENSG00000002549	ENST00000503467	0.871878742569362	0.77286
ENSG00000002549	ENST00000508014	0.813157579755479	0.53736
ENSG00000002549	ENST00000508497	0.864506123344677	0.7238
ENSG00000002549	ENST00000509583	0.910469731123416	0.85406
ENSG00000002549	ENST00000512397	0.810663991058523	0.52909
ENSG00000002549	ENST00000606142	1.04002257029855	0.94976
ENSG00000002549	ENST00000618908	0.8540793023293	0.7223
ENSG00000002586	Expression	-0.000752314413755806	0.98918
ENSG00000002586	ENST00000381177	1.00440743361287	0.90633
ENSG00000002586	ENST00000381180	1.02073762012749	0.89168
ENSG00000002586	ENST00000381187	1.03405444650018	0.91513
ENSG00000002586	ENST00000381192	1.00091177292192	0.97186
ENSG00000002586	ENST00000449611	0.87725520326032	0.74161
ENSG00000002586	ENST00000482405	1.04638226311692	0.88052
ENSG00000002586	ENST00000497752	0.995456299941372	0.90874
ENSG00000002586	ENST00000624481	0.987409691179956	0.94945
ENSG00000002822	Expression	-0.00275747651151512	0.98832
ENSG00000002822	ENST00000399654	0.989582457083608	0.94984
ENSG00000002822	ENST00000437877	1.02845844088211	0.9186
ENSG00000002822	ENST00000455998	1.0657953128861	0.85857
ENSG00000002822	ENST00000477172	1.09645171589451	0.80829
ENSG00000002834	Expression	-0.00822539687398319	0.98599
ENSG00000002834	ENST00000318008	1.00145788155768	0.9774
ENSG00000002834	ENST00000433206	0.928758188761965	0.90948
ENSG00000002834	ENST00000579123	0.957072264514826	0.93576
ENSG00000002834	ENST00000584106	0.900029147157705	0.83324
ENSG00000002919	Expression	0.00105304320660779	0.9884
ENSG00000002919	ENST00000359238	1.00888492777036	0.96118
ENSG00000002919	ENST00000393405	0.976883029261543	0.94438
ENSG00000002919	ENST00000580875	0.95069981944203	0.91009
ENSG00000002919	ENST00000582104	0.950997740206851	0.92522
ENSG00000002933	Expression	-0.0122617530090821	0.98291
ENSG00000002933	ENST00000004103	1.02378672340047	0.93441
ENSG00000002933	ENST00000462826	0.957091453962796	0.90601
ENSG00000002933	ENST00000475536	1.13908922751466	0.70025
ENSG00000002933	ENST00000481305	0.980225320646858	0.92049
ENSG00000002933	ENST00000484928	0.967476880631906	0.93972
ENSG00000003056	Expression	-0.00417047441905656	0.98836
ENSG00000003056	ENST00000000412	1.00318736887344	0.97006
ENSG00000003056	ENST00000537621	0.949700354132488	0.905
ENSG00000003056	ENST00000539143	0.978231434856976	0.90747
ENSG00000003056	ENST00000540837	0.969807285538413	0.90869
ENSG00000003056	ENST00000543159	0.910741603435854	0.83001
ENSG00000003056	ENST00000543258	0.992341486959448	0.90908
ENSG00000003056	ENST00000543834	1.02851972708069	0.89429
ENSG00000003056	ENST00000544245	0.96575053958208	0.90508
ENSG00000003137	Expression	-0.0076262408085249	0.98684
ENSG00000003137	ENST00000001146	0.993814862189651	0.97129
ENSG00000003137	ENST00000412253	1.0275992066768	0.95443
ENSG00000003137	ENST00000461519	0.896228487827748	0.83474
ENSG00000003147	Expression	-0.00938810037570845	0.98559
ENSG00000003147	ENST00000265577	1.13973842191297	0.69272
ENSG00000003147	ENST00000401396	1.00262355869737	0.93387
ENSG00000003147	ENST00000406470	0.848044612039622	0.6582
ENSG00000003147	ENST00000407906	0.96511263563048	0.89657
ENSG00000003147	ENST00000455539	1.03520015332158	0.89254
ENSG00000003147	ENST00000457755	0.978490454550055	0.902
ENSG00000003147	ENST00000470696	0.989198771862534	0.91479
ENSG00000003147	ENST00000490041	0.942723670903471	0.8773
ENSG00000003249	Expression	-0.00556146206048344	0.98649
ENSG00000003249	ENST00000002501	0.994388872650719	0.97078
ENSG00000003249	ENST00000623401	1.08812316784787	0.88656
