cohort	srp	srr	category	status	isPaired	BioSample
7	SRP040070	SRR1191667	MRC5HighMOI.MERS.n/a.24h	case	PAIRED	SAMN02689047
7	SRP040070	SRR1191668	MRC5HighMOI.MERS.n/a.24h	case	PAIRED	SAMN02689047
7	SRP040070	SRR1191672	MRC5HighMOI.MERS.n/a.24h	case	PAIRED	SAMN02689051
7	SRP040070	SRR1191673	MRC5HighMOI.MERS.n/a.24h	case	PAIRED	SAMN02689051
7	SRP040070	SRR1192166	MRC5HighMOI.MERS.n/a.24h	case	PAIRED	SAMN02689139
7	SRP040070	SRR1192167	MRC5HighMOI.MERS.n/a.24h	case	PAIRED	SAMN02689139
7	SRP040070	SRR1192353	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689146
7	SRP040070	SRR1192354	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689146
7	SRP040070	SRR1192370	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689147
7	SRP040070	SRR1192371	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689147
7	SRP040070	SRR1192398	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689148
7	SRP040070	SRR1192399	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689148
