cohort	srp	srr	category	status	isPaired	BioSample
3	SRP040070	SRR1192353	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689146
3	SRP040070	SRR1192354	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689146
3	SRP040070	SRR1192370	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689147
3	SRP040070	SRR1192371	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689147
3	SRP040070	SRR1192398	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689148
3	SRP040070	SRR1192399	MRC5.MOCK.n/a.0h	control	PAIRED	SAMN02689148
3	SRP040070	SRR1193013	MRC5HighMOI.SARS.n/a.24h	case	PAIRED	SAMN02689157
3	SRP040070	SRR1193014	MRC5HighMOI.SARS.n/a.24h	case	PAIRED	SAMN02689157
3	SRP040070	SRR1193015	MRC5HighMOI.SARS.n/a.24h	case	PAIRED	SAMN02689157
3	SRP040070	SRR1193016	MRC5HighMOI.SARS.n/a.24h	case	PAIRED	SAMN02689158
3	SRP040070	SRR1193017	MRC5HighMOI.SARS.n/a.24h	case	PAIRED	SAMN02689158
3	SRP040070	SRR1193018	MRC5HighMOI.SARS.n/a.24h	case	PAIRED	SAMN02689158
3	SRP040070	SRR1193100	MRC5HighMOI.SARS.n/a.24h	case	PAIRED	SAMN02689161
3	SRP040070	SRR1193101	MRC5HighMOI.SARS.n/a.24h	case	PAIRED	SAMN02689161
3	SRP040070	SRR1193102	MRC5HighMOI.SARS.n/a.24h	case	PAIRED	SAMN02689161
