cohort	srp	srr	category	status	isPaired	BioSample
56	SRP273785	SRR12333756	infected	case	PAIRED	SAMN15655153
56	SRP273785	SRR12333678	infected	case	PAIRED	SAMN15655144
56	SRP273785	SRR12333684	infected	case	PAIRED	SAMN15655192
56	SRP273785	SRR12333686	infected	case	PAIRED	SAMN15655190
56	SRP273785	SRR12333692	infected	case	PAIRED	SAMN15655133
56	SRP273785	SRR12333693	infected	case	PAIRED	SAMN15655131
56	SRP273785	SRR12333699	infected	case	PAIRED	SAMN15655111
56	SRP273785	SRR12333704	infected	case	PAIRED	SAMN15655106
56	SRP273785	SRR12333706	infected	case	PAIRED	SAMN15655104
56	SRP273785	SRR12333709	infected	case	PAIRED	SAMN15655101
56	SRP273785	SRR12333717	infected	case	PAIRED	SAMN15655163
56	SRP273785	SRR12333718	infected	case	PAIRED	SAMN15655162
56	SRP273785	SRR12333721	infected	case	PAIRED	SAMN15655187
56	SRP273785	SRR12333724	infected	case	PAIRED	SAMN15655184
56	SRP273785	SRR12333729	infected	case	PAIRED	SAMN15655179
56	SRP273785	SRR12333733	infected	case	PAIRED	SAMN15655175
56	SRP273785	SRR12333754	Uninfected	control	PAIRED	SAMN15655155
56	SRP273785	SRR12333758	Uninfected	control	PAIRED	SAMN15655151
56	SRP273785	SRR12333759	Uninfected	control	PAIRED	SAMN15655150
56	SRP273785	SRR12333761	Uninfected	control	PAIRED	SAMN15655148
56	SRP273785	SRR12333677	Uninfected	control	PAIRED	SAMN15655145
56	SRP273785	SRR12333682	Uninfected	control	PAIRED	SAMN15655194
56	SRP273785	SRR12333687	Uninfected	control	PAIRED	SAMN15655189
56	SRP273785	SRR12333694	Uninfected	control	PAIRED	SAMN15655140
56	SRP273785	SRR12333696	Uninfected	control	PAIRED	SAMN15655137
56	SRP273785	SRR12333703	Uninfected	control	PAIRED	SAMN15655107
56	SRP273785	SRR12333712	Uninfected	control	PAIRED	SAMN15655168
56	SRP273785	SRR12333723	Uninfected	control	PAIRED	SAMN15655185
56	SRP273785	SRR12333728	Uninfected	control	PAIRED	SAMN15655180
56	SRP273785	SRR12333732	Uninfected	control	PAIRED	SAMN15655176
56	SRP273785	SRR12333734	Uninfected	control	PAIRED	SAMN15655174
56	SRP273785	SRR12333737	Uninfected	control	PAIRED	SAMN15655171
56	SRP273785	SRR12333738	Uninfected	control	PAIRED	SAMN15655171
56	SRP273785	SRR12333739	Uninfected	control	PAIRED	SAMN15655171
56	SRP273785	SRR12333755	Uninfected	control	PAIRED	SAMN15655154
56	SRP273785	SRR12333757	Uninfected	control	PAIRED	SAMN15655152
56	SRP273785	SRR12333760	Uninfected	control	PAIRED	SAMN15655149
56	SRP273785	SRR12333762	Uninfected	control	PAIRED	SAMN15655147
56	SRP273785	SRR12333681	Uninfected	control	PAIRED	SAMN15655195
56	SRP273785	SRR12333685	Uninfected	control	PAIRED	SAMN15655191
56	SRP273785	SRR12333688	Uninfected	control	PAIRED	SAMN15655188
56	SRP273785	SRR12333702	Uninfected	control	PAIRED	SAMN15655108
56	SRP273785	SRR12333707	Uninfected	control	PAIRED	SAMN15655103
56	SRP273785	SRR12333708	Uninfected	control	PAIRED	SAMN15655102
56	SRP273785	SRR12333710	Uninfected	control	PAIRED	SAMN15655100
56	SRP273785	SRR12333711	Uninfected	control	PAIRED	SAMN15655169
56	SRP273785	SRR12333722	Uninfected	control	PAIRED	SAMN15655186
56	SRP273785	SRR12333727	Uninfected	control	PAIRED	SAMN15655181
56	SRP273785	SRR12333730	Uninfected	control	PAIRED	SAMN15655178
56	SRP273785	SRR12333731	Uninfected	control	PAIRED	SAMN15655177
