cohort	srp	srr	category	status	isPaired	BioSample
50	SRP178454	SRR8433655	NasalNonCarrier	control	PAIRED	SAMN10724642
50	SRP178454	SRR8433657	NasalNonCarrier	control	PAIRED	SAMN10724640
50	SRP178454	SRR8433659	NasalNonCarrier	control	PAIRED	SAMN10724638
50	SRP178454	SRR8433667	NasalNonCarrier	control	PAIRED	SAMN10724630
50	SRP178454	SRR8433672	NasalNonCarrier	control	PAIRED	SAMN10724625
50	SRP178454	SRR8433674	NasalNonCarrier	control	PAIRED	SAMN10724623
50	SRP178454	SRR8433678	NasalNonCarrier	control	PAIRED	SAMN10724619
50	SRP178454	SRR8433680	NasalNonCarrier	control	PAIRED	SAMN10724617
50	SRP178454	SRR8433661	NasalCarrier	case	PAIRED	SAMN10724636
50	SRP178454	SRR8433665	NasalCarrier	case	PAIRED	SAMN10724632
50	SRP178454	SRR8433669	NasalCarrier	case	PAIRED	SAMN10724628
50	SRP178454	SRR8433670	NasalCarrier	case	PAIRED	SAMN10724627
50	SRP178454	SRR8433676	NasalCarrier	case	PAIRED	SAMN10724621
